日期,渠道,软件ID,软件名称,PV,安全下载,普通下载,按钮3,按钮4,下载点击总数,调起,成功安装,下载/PV,调起/下载,安装成功率,安装整体转化,当天报活率,新装卸载率,次日留存率,七日留存率,新装卸载数,次日留存数,七人留存数,重复安装量,重复安装比例
2020-12-30,186,407,火狐浏览器 收藏版,1178,1042,0,0,0,1042,621,579,88.46%,59.60%,93.24%,49.15%,0,0,,,0,0,0,30,5.18%
2020-12-30,186,369,microsoft visio 2013,40,32,0,0,0,32,31,28,80.00%,96.88%,90.32%,70.00%,0,0,,,0,0,0,0,0
2020-12-30,186,64,金山打字通,141,114,0,0,0,114,77,63,80.85%,67.54%,81.82%,44.68%,0,0,,,0,0,0,7,11.11%
2020-12-30,186,49,植物大战僵尸中文版,573,379,0,0,0,379,199,181,66.14%,52.51%,90.95%,31.59%,0,0,,,0,0,0,8,4.42%
2020-12-30,186,68,flash 非 ie,991,757,0,0,0,757,539,512,76.39%,71.20%,94.99%,51.66%,0,0,,,0,0,0,116,22.66%
2020-12-30,186,387,CCTalk,13,11,0,0,0,11,10,10,84.62%,90.91%,100.00%,76.92%,0,0,,,0,0,0,0,0
2020-12-30,186,28,暴风影音5,697,579,0,0,0,579,362,329,83.07%,62.52%,90.88%,47.20%,0,0,,,0,0,0,13,3.95%
2020-12-30,186,515,猿辅导客户端,80,70,0,0,0,70,39,36,87.50%,55.71%,92.31%,45.00%,0,0,,,0,0,0,0,0
2020-12-30,186,361,CAD快速看图,298,263,0,0,0,263,192,184,88.26%,73.00%,95.83%,61.74%,0,0,,,0,0,0,8,4.35%
2020-12-30,186,339,QQ浏览器,341,297,0,0,0,297,176,161,87.10%,59.26%,91.48%,47.21%,0,0,,,0,0,0,9,5.59%
2020-12-30,186,567,Notepad++,71,41,2,14,3,60,35,33,60.56%,81.40%,94.29%,46.48%,0,0,,,0,0,0,0,0
2020-12-30,186,76,千牛,844,653,20,20,10,703,420,393,79.74%,62.41%,93.57%,46.56%,0,0,,,0,0,0,14,3.56%
2020-12-30,186,110,QQ影音,32,19,4,2,1,26,19,19,71.88%,82.61%,100.00%,59.38%,0,0,,,0,0,0,0,0
2020-12-30,186,26,猎豹浏览器,331,269,0,0,0,269,191,180,81.27%,71.00%,94.24%,54.38%,0,0,,,0,0,0,13,7.22%
2020-12-30,186,37,阿里旺旺买家版,279,197,7,2,1,207,157,151,73.12%,76.96%,96.18%,54.12%,0,0,,,0,0,0,0,0
2020-12-30,186,344,WPS-PPT,381,313,0,0,0,313,201,187,82.15%,64.22%,93.03%,49.08%,0,0,,,0,0,0,8,4.28%
2020-12-30,186,34,酷狗音乐,1193,976,0,0,0,976,524,488,81.81%,53.69%,93.13%,40.91%,0,0,,,0,0,0,33,6.76%
2020-12-30,186,286,逍遥笔手写输入法,44,38,0,0,0,38,31,30,86.36%,81.58%,96.77%,68.18%,0,0,,,0,0,0,0,0
2020-12-30,186,399,wps2019,7072,5416,0,0,0,5416,3140,2905,76.58%,57.98%,92.52%,41.08%,0,0,,,0,0,0,90,3.10%
2020-12-30,186,512,向日葵控制端,1085,869,0,0,0,869,560,505,80.09%,64.44%,90.18%,46.54%,0,0,,,0,0,0,20,3.96%
2020-12-30,186,13,微信,10452,8402,609,243,223,9477,5390,5073,86.21%,59.82%,94.12%,48.54%,0,0,,,0,0,0,200,3.94%
2020-12-30,186,492,极光PDF,212,161,0,0,0,161,132,127,75.94%,81.99%,96.21%,59.91%,0,0,,,0,0,0,0,0
2020-12-30,186,566,Origin,156,93,1,30,0,124,66,64,60.26%,70.21%,96.97%,41.03%,0,0,,,0,0,0,0,0
2020-12-30,186,163,WIFI共享大师,79,64,6,1,1,72,68,64,88.61%,97.14%,94.12%,81.01%,0,0,,,0,0,0,10,15.62%
2020-12-30,186,65,极点五笔,64,59,0,0,0,59,51,48,92.19%,86.44%,94.12%,75.00%,0,0,,,0,0,0,0,0
2020-12-30,186,148,拳皇97,129,70,0,0,0,70,64,58,54.26%,91.43%,90.62%,44.96%,0,0,,,0,0,0,0,0
2020-12-30,186,215,极品五笔输入法,110,103,0,0,0,103,77,76,93.64%,74.76%,98.70%,69.09%,0,0,,,0,0,0,0,0
2020-12-30,186,22,王者荣耀电脑版,132,71,0,0,0,71,42,40,53.79%,59.15%,95.24%,30.30%,0,0,,,0,0,0,0,0
2020-12-30,186,225,钉钉,2117,1822,63,59,36,1980,1043,959,89.04%,55.33%,91.95%,45.30%,0,0,,,0,0,0,30,3.13%
2020-12-30,186,29,美图秀秀,445,318,0,0,0,318,204,187,71.46%,64.15%,91.67%,42.02%,0,0,,,0,0,0,16,8.56%
2020-12-30,186,287,CAJ全文阅读器 CAJViewer,317,270,0,0,0,270,204,195,85.17%,75.56%,95.59%,61.51%,0,0,,,0,0,0,0,0
2020-12-30,186,70,讯飞输入法,11,6,0,0,0,6,9,10,54.55%,150.00%,111.11%,90.91%,0,0,,,0,0,0,0,0
2020-12-30,186,18,QQpc版,495,356,17,13,11,397,221,204,75.35%,59.25%,92.31%,41.21%,0,0,,,0,0,0,16,7.84%
2020-12-30,186,23,foxmail v7.2,45,36,0,0,0,36,35,31,80.00%,97.22%,88.57%,68.89%,0,0,,,0,0,0,0,0
2020-12-30,186,48,光影魔术手,219,194,0,0,0,194,135,127,88.58%,69.59%,94.07%,57.99%,0,0,,,0,0,0,0,0
2020-12-30,186,366,Everything(x64),33,20,0,3,0,23,18,16,60.61%,90.00%,88.89%,48.48%,0,0,,,0,0,0,0,0
2020-12-30,186,574,泡泡加速器,87,61,0,0,0,61,47,47,70.11%,77.05%,100.00%,54.02%,0,0,,,0,0,0,0,0
2020-12-30,186,516,小鱼易连,169,147,0,0,0,147,97,94,86.98%,65.99%,96.91%,55.62%,0,0,,,0,0,0,0,0
2020-12-30,186,617,C盘瘦身专家,31,15,0,0,0,15,0,0,48.39%,0,0,0,0,0,0.0,0.0,0,0,0,0,0
2020-12-30,186,165,Adobe Reader XI(中文版),84,66,4,6,2,78,53,51,83.33%,75.71%,96.23%,60.71%,0,0,,,0,0,0,0,0
2020-12-30,186,20,驱动精灵,1563,1245,0,0,0,1245,816,767,79.65%,65.54%,94.00%,49.07%,0,0,,,0,0,0,17,2.22%
2020-12-30,186,336,谷歌浏览器,2730,2204,0,0,0,2204,1347,1233,80.73%,61.12%,91.54%,45.16%,0,0,,,0,0,0,48,3.89%
2020-12-30,186,254,Xmind,129,96,0,0,0,96,65,60,74.42%,67.71%,92.31%,46.51%,0,0,,,0,0,0,0,0
2020-12-30,186,342,WPS-word,879,663,0,0,0,663,365,332,75.43%,55.05%,90.96%,37.77%,0,0,,,0,0,0,8,2.41%
2020-12-30,186,440,分区助手,38,22,1,7,0,30,22,21,60.53%,95.65%,95.45%,55.26%,0,0,,,0,0,0,0,0
2020-12-30,186,525,迷你世界,898,771,0,0,0,771,433,399,85.86%,56.16%,92.15%,44.43%,0,0,,,0,0,0,24,6.02%
2020-12-30,186,155,狸窝全能视频转换器,19,12,0,0,0,12,20,17,63.16%,166.67%,85.00%,89.47%,0,0,,,0,0,0,0,0
2020-12-30,186,122,CorelDRAW X8,12,8,0,0,0,8,5,5,66.67%,62.50%,100.00%,41.67%,0,0,,,0,0,0,0,0
2020-12-30,186,178,企业微信,145,125,0,0,0,125,69,64,86.21%,55.20%,92.75%,44.14%,0,0,,,0,0,0,0,0
2020-12-30,186,220,腾讯视频,98,63,2,3,0,68,47,37,66.33%,72.31%,78.72%,37.76%,0,0,,,0,0,0,0,0
2020-12-30,186,536,香肠派对,23,16,0,0,0,16,11,11,69.57%,68.75%,100.00%,47.83%,0,0,,,0,0,0,0,0
2020-12-30,186,343,WPS-Excel,711,536,14,34,9,593,320,291,77.36%,58.18%,90.94%,40.93%,0,0,,,0,0,0,11,3.78%
