网页转化,下载器转化,新装和卸载,会员支付,鱼干支付,合计付费
日期,渠道,计划,网页展示,网页点击,点击率,下载器展示,调起率,点击极速安装,安装率,安装成功,成功率,安装成功/网页展示,新装,卸载,卸载率,会员支付人数,会员支付金额,客单价,付费率,鱼干支付人数,鱼干支付金额,客单价,付费率,总客单价,ARPU值
2021-01-04,1002,all,11170,6625,59.31%,5053,76.27%,3760,74.41%,4377,116.41%,39.19%,4095,818,19.98%,103,2363.0,22.94,2.52%,76,841.0,11.07,1.86%,17.90,0.78
2021-01-04,1002,65,5,3,60.00%,2,66.67%,0,0.00%,2,None,40.00%,2,1,50.00%,1,9.0,9.00,50.00%,None,None,None,None,None,None
2021-01-04,1002,20,61,31,50.82%,17,54.84%,0,0.00%,16,None,26.23%,16,4,25.00%,None,None,None,None,1,10.0,10.00,6.25%,None,None
2021-01-04,1002,91,5,3,60.00%,1,33.33%,0,0.00%,1,None,20.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,115,4,1,25.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,161,7,4,57.14%,2,50.00%,2,100.00%,2,100.00%,28.57%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-04,1002,80,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,67,2,2,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,126,7,5,71.43%,4,80.00%,4,100.00%,4,100.00%,57.14%,4,None,None,None,None,None,None,1,10.0,10.00,25.00%,None,None
2021-01-03,1002,23,3,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,148,2,2,100.00%,1,50.00%,1,100.00%,1,100.00%,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,59,345,167,48.41%,141,84.43%,119,84.40%,116,97.48%,33.62%,114,39,34.21%,4,116.0,29.00,3.51%,1,10.0,10.00,0.88%,25.20,1.11
2021-01-03,1002,28,98,54,55.10%,38,70.37%,0,0.00%,33,None,33.67%,29,12,41.38%,None,None,None,None,2,20.0,10.00,6.90%,None,None
2021-01-03,1002,16,56,33,58.93%,13,39.39%,11,84.62%,11,100.00%,19.64%,11,3,27.27%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,105,2,2,100.00%,1,50.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,58,3,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,56,7,3,42.86%,3,100.00%,1,33.33%,3,300.00%,42.86%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,110,1,1,100.00%,1,100.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,43,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,142,2,1,50.00%,1,100.00%,1,100.00%,1,100.00%,50.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,103,10,3,30.00%,3,100.00%,0,0.00%,3,None,30.00%,3,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,6,1889,1044,55.27%,678,64.94%,556,82.01%,549,98.74%,29.06%,520,138,26.54%,12,108.0,9.00,2.31%,8,126.0,15.75,1.54%,11.70,0.45
2021-01-03,1002,55,2,1,50.00%,1,100.00%,0,0.00%,1,None,50.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,72,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,89,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,21,18,8,44.44%,5,62.50%,0,0.00%,5,None,27.78%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,7,1110,636,57.30%,406,63.84%,327,80.54%,326,99.69%,29.37%,301,67,22.26%,9,281.0,31.22,2.99%,5,59.0,11.80,1.66%,24.29,1.13
2021-01-03,1002,158,43,21,48.84%,15,71.43%,11,73.33%,11,100.00%,25.58%,11,3,27.27%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,160,3,0,0.00%,1,None,1,100.00%,1,100.00%,33.33%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,27,24,13,54.17%,9,69.23%,0,0.00%,8,None,33.33%,7,2,28.57%,None,None,None,None,1,10.0,10.00,14.29%,None,None
2021-01-03,1002,62,1,1,100.00%,1,100.00%,0,0.00%,1,None,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,243,15,13,86.67%,11,84.62%,0,0.00%,11,None,73.33%,9,7,77.78%,None,None,None,None,1,19.0,19.00,11.11%,None,None
2021-01-03,1002,117,7,7,100.00%,5,71.43%,4,80.00%,4,100.00%,57.14%,4,1,25.00%,None,None,None,None,2,20.0,10.00,50.00%,None,None
2021-01-03,1002,139,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,100.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,19,260,129,49.62%,84,65.12%,1,1.19%,81,"8,100.00%",31.15%,76,29,38.16%,2,18.0,9.00,2.63%,1,19.0,19.00,1.32%,12.33,0.49
2021-01-03,1002,83,2,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,15,398,322,80.90%,302,93.79%,286,94.70%,283,98.95%,71.11%,268,63,23.51%,7,63.0,9.00,2.61%,4,58.0,14.50,1.49%,11.00,0.45
2021-01-03,1002,94,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,57,6,4,66.67%,4,100.00%,0,0.00%,2,None,33.33%,2,2,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,all,9906,6060,61.18%,4563,75.30%,3465,75.94%,4039,116.57%,40.77%,3812,941,24.69%,99,2132.0,21.54,2.60%,70,882.0,12.60,1.84%,17.83,0.79
2021-01-03,1002,124,1,1,100.00%,1,100.00%,1,100.00%,1,100.00%,100.00%,1,1,100.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,30,12,8,66.67%,2,25.00%,0,0.00%,2,None,16.67%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,157,41,26,63.41%,24,92.31%,23,95.83%,23,100.00%,56.10%,22,12,54.55%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,22,28,6,21.43%,3,50.00%,0,0.00%,3,None,10.71%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,34,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,51,10,7,70.00%,2,28.57%,0,0.00%,2,None,20.00%,2,1,50.00%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,5,1153,954,82.74%,914,95.81%,867,94.86%,862,99.42%,74.76%,807,178,22.06%,17,405.0,23.82,2.11%,15,177.0,11.80,1.86%,18.19,0.72
2021-01-03,1002,80,3,1,33.33%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,112,1,1,100.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,40,2,1,50.00%,1,100.00%,0,0.00%,0,None,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,33,5,3,60.00%,1,33.33%,0,0.00%,1,None,20.00%,1,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,44,5,3,60.00%,2,66.67%,0,0.00%,2,None,40.00%,2,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,24,160,82,51.25%,52,63.41%,46,88.46%,47,102.17%,29.38%,38,9,23.68%,2,207.0,103.50,5.26%,1,10.0,10.00,2.63%,72.33,5.71
2021-01-03,1002,49,1,0,0.00%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,32,30,16,53.33%,15,93.75%,0,0.00%,13,None,43.33%,13,3,23.08%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,133,2192,1246,56.84%,921,73.92%,818,88.82%,814,99.51%,37.14%,767,181,23.60%,19,351.0,18.47,2.48%,16,206.0,12.88,2.09%,15.91,0.73
2021-01-03,1002,18,228,176,77.19%,152,86.36%,2,1.32%,149,"7,450.00%",65.35%,145,39,26.90%,5,265.0,53.00,3.45%,5,50.0,10.00,3.45%,31.50,2.17
2021-01-03,1002,96,4,3,75.00%,3,100.00%,0,0.00%,3,None,75.00%,3,1,33.33%,None,None,None,None,None,None,None,None,None,None
2021-01-03,1002,45,3,2,66.67%,1,50.00%,0,0.00%,1,None,33.33%,1,None,None,None,None,None,None,None,None,None,None,None,None
